;Total;Guilty;Not Guilty;Special Verdict;Miscellaneous;Age_Group
Total;81327;72675;8312;42;298;22_99'
1800s;3972;3962;7;3;0;22_99'
1810s;6337;6322;8;7;0;22_99'
1820s;7498;7471;12;15;0;22_99'
1830s;9648;9583;60;5;0;22_99'
1840s;11589;11422;167;0;0;22_99'
1850s;7081;6632;441;0;8;22_99'
1860s;7568;5842;1701;1;24;22_99'
1870s;6158;4422;1670;5;61;22_99'
1880s;6892;5222;1614;2;54;22_99'
1890s;5821;4724;1056;1;40;22_99'
1900s;6166;5015;1072;2;77;22_99'
1910s*;2597;2058;504;1;34;22_99'
